commit_sha,commit_time,release_tag,platform,project,status,error,install_size_bytes,bob_build_time_ms,open_time_ms,memory_after_open_bytes,build_time_ms,memory_after_build_bytes,memory_added_by_build_bytes,comment
a355cbee369092d1e4503c17e6064d25f272821c,2026-04-15T07:59:39Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313517262,194005,418316,3026042880,686710,3994155008,968112128,
3a622a5d2f0e4314bab6b45af5691b60355b31d0,2026-04-16T14:16:51Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313697928,41038,76380,3176796160,100376,3948177408,771381248,self-hosted Mac M4
7b23e2420a54a61667e304303ce665e6fc9972d0,2026-04-17T08:46:47Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313723843,42976,78078,3177942016,101910,3950227456,772285440,
f1944d582b8ed1b61dc5f905e6a33856308d20ce,2026-04-18T10:04:48Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313720041,41437,73621,3180848128,97802,3946266624,765418496,
aedfa1ba59d3689736f3fe458001e9d5b77068a0,2026-04-20T11:34:41Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313716294,41675,79311,3173078016,100973,3945995264,772917248,
4c085fd2de4f1c5ab1e8d2f3d9d1d92e25796b10,2026-04-21T20:33:08Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313729221,42359,73880,3172470784,99140,3943621632,771150848,
b426cd0b9b0be9a89915a9fc90ca1d726b5971d6,2026-04-22T15:17:43Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313709777,41660,77425,3177618432,100703,3949665280,772046848,
3583d3299c1234fcaed6678219b58c7ebe03a710,2026-04-23T15:01:56Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313727479,41612,71946,3141428224,99362,3919771648,778343424,
376a6b52a905f6ee6dec246ac344f6918ad0adae,2026-04-26T12:54:06Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,313732618,41056,75398,3147342848,99257,3917438976,770096128,
01a528220a70de474ee9844136e661559e848bc1,2026-04-27T16:27:35Z,1.13.0-alpha,macos-arm64,defold/big-synthetic-project,ok,,311142789,43128,74892,3150628864,100637,3923414016,772785152,
